Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL216856,,None,148.12,0,-1.71,DL-Asp gamma-H,NC(CC(=O)NO)C(=O)O,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL913332,Inhibition of CSK at 25 uM in presence of 12 mM MgCl2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1138212,1,Scientific Literature,J Med Chem,2006,None,,,,0
CHEMBL216856,,None,148.12,0,-1.71,DL-Asp gamma-H,NC(CC(=O)NO)C(=O)O,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL913333,Inhibition of CSK at 25 uM in presence of 12 mM MgCl2 and 0.2 mM CoCl2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1138212,1,Scientific Literature,J Med Chem,2006,None,,,,0
CHEMBL5076728,,None,451.51,0,4.01,15d,O=C(CCCCCCn1cc(Nc2ncc3ccn(Cc4ccccc4F)c3n2)cn1)NO,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL5038876,Inhibition of human recombinant CSK assessed as reduction in substrate phosphorylation at 50 to 500 nM using ATP and Ulight-CKKSRGDYMTMQIG (IRS-1) incubated for 60 min by LANCE detection method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL5038570,1,Scientific Literature,J Med Chem,2022,None,Dose_Lower = 50.0 nM | Dose_Upper = 500.0 nM | TIME = 1.0 hr,,,0
CHEMBL4583163,,None,292.34,0,3.49,8,CCOc1ccc(/C=C/c2nc3ccccc3c(=O)[nH]2)cc1,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL4412226,Inhibition of CSK (unknown origin) at 0.5 uM preincubated for 10 mins followed by substrate addition and measured after 1 hr by ADP-Glo luminescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4411283,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0
CHEMBL216796,,None,90.08,0,-1.55,GlyH,NCC(=O)NO,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL913332,Inhibition of CSK at 25 uM in presence of 12 mM MgCl2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1138212,1,Scientific Literature,J Med Chem,2006,None,,,,0
CHEMBL4859660,,None,378.36,0,3.33,I-9,Nc1ncc(-c2cccc([N+](=O)[O-])c2F)cc1-c1ccc2c(c1)CCNC2=O,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL4804554,Inhibition of CSK in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H929,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4804281,38,SureChEMBL Patent Bioactivity Data,,2020,None,Dose = 10.0 microM,,,0
CHEMBL426161,AZM-475271,2,442.95,0,4.76,AZM475271,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL4412226,Inhibition of CSK (unknown origin) at 0.5 uM preincubated for 10 mins followed by substrate addition and measured after 1 hr by ADP-Glo luminescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4411283,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0
CHEMBL941,IMATINIB,4,493.62,0,4.59,1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL4412226,Inhibition of CSK (unknown origin) at 0.5 uM preincubated for 10 mins followed by substrate addition and measured after 1 hr by ADP-Glo luminescence assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4411283,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0
CHEMBL482326,GSK-1030062A,None,505.52,2,5.4,GSK1030062A,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)N(C)C)s3)c2cc1OC,Inhibition,'=',0.02,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.02
CHEMBL188784,GW828529X,None,468.39,1,5.89,GW828529X,Fc1ccc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)n2)cc1F,Inhibition,'=',0.02,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.02
CHEMBL218970,GW445017X,None,272.74,0,3.27,GW445017X,CNC(=O)c1cncc(/C=C/c2ccccc2Cl)c1,Inhibition,'=',0.04,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.04
CHEMBL233001,GW620972X,None,332.43,0,4.9,GW620972X,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,Inhibition,'=',0.06,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.06
CHEMBL1170139,,None,545.61,2,5.68,12,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1,Inhibition,'=',0.1,%,,,,UO_0000187,,,,,0,CHEMBL1174182,Inhibition of CSK at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1177794,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,0.1
CHEMBL188426,GW807982X,None,430.39,0,4.36,GW807982X,CCOc1ccc2c(-c3ccnc(Nc4cc(OC)cc(C(F)(F)F)c4)n3)cnn2n1,Inhibition,'=',0.11,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.11
CHEMBL1171523,,None,506.57,2,5.2,3,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1,Inhibition,'=',0.15,%,,,,UO_0000187,,,,,0,CHEMBL1174182,Inhibition of CSK at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1177794,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,0.15
CHEMBL477583,GW743024X,None,374.44,0,4.65,GW743024X,Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)NCC2CC2)cc1,Inhibition,'=',0.18,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.18
CHEMBL233001,GW620972X,None,332.43,0,4.9,GW620972X,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,Inhibition,'=',0.21,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.21
CHEMBL1785002,,None,472.52,0,3.89,SB-264865,NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,Inhibition,'=',0.29,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.29
CHEMBL1909399,GW352430A,None,457.94,0,2.28,GW352430A,Cl.NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,Inhibition,'=',0.36,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.36
CHEMBL247228,GW770249X,None,431.35,1,5.27,GW770249X,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,Inhibition,'=',0.36,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.36
CHEMBL63728,GW644007X,None,326.36,0,2.57,GW644007X,COc1cc(/C=N/Nc2ncnc3c2cnn3C(C)C)ccc1O,Inhibition,'=',0.38,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.38
CHEMBL215993,GW284372X,None,393.45,1,6.21,GW284372X,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,Inhibition,'=',0.39,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.39
CHEMBL1909401,,None,465.41,0,4.56,SB-285234-W,O=C([O-])c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1.[Li+],Inhibition,'=',0.4,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.4
CHEMBL102936,,None,370.43,0,2.95,SB-742865,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,Inhibition,'=',0.41,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.41
CHEMBL458415,GSK-2186269A,None,483.58,0,3.86,GSK2186269A,COc1cc2c(cc1Nc1nc(N3CCc4ccccc43)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,Inhibition,'=',0.41,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.41
CHEMBL1909386,GW566221A,None,565.1,2,5.35,GW566221A,CS(=O)(=O)CCNCc1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1.Cl,Inhibition,'=',0.42,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.42
CHEMBL473420,GSK-1030058A,None,492.48,1,5.49,GSK1030058A,COC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,Inhibition,'=',0.42,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.42
CHEMBL442363,GW809885X,None,373.42,0,3.36,GW809885X,COc1cccc(-n2nc(C)c3c(N/N=C(\C)c4ccncc4)ncnc32)c1,Inhibition,'=',0.42,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.42
CHEMBL408732,,None,308.34,0,2.98,SB-711237,COc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3n2)cc1,Inhibition,'=',0.42,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.42
CHEMBL458865,GSK-1220512A,None,518.6,1,4.22,GSK1220512A,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2n1,Inhibition,'=',0.44,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.44
CHEMBL1909392,GW580496A,None,643.99,2,6.11,GW580496A,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Br)c4)c3c2)o1.Cl,Inhibition,'=',0.44,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.44
CHEMBL189148,GW829055X,None,398.86,1,5.25,GW829055X,Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,Inhibition,'=',0.47,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.47
CHEMBL13868,,None,507.57,2,6.66,SB-245392,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc(Oc4ccccc4)cc3)n2)cc1,Inhibition,'=',0.47,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.47
CHEMBL188247,GW832467X,None,504.47,2,5.7,GW832467X,Cc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c(-c3ccc(C(F)(F)F)cc3)nn2n1,Inhibition,'=',0.48,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.48
CHEMBL263796,GW445014X,None,307.18,0,3.92,GW445014X,CNC(=O)c1cncc(/C=C/c2c(Cl)cccc2Cl)c1,Inhibition,'=',0.49,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.49
CHEMBL1909382,GW759710A,None,359.79,0,3.2,GW759710A,Cl.NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1,Inhibition,'=',0.49,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.49
CHEMBL514162,GW852849X,None,443.91,0,4.44,GW852849X,COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC,Inhibition,'=',0.5,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.5
CHEMBL1785002,,None,472.52,0,3.89,SB-264865,NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,Inhibition,'=',0.51,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.51
CHEMBL352222,,None,394.17,0,3.09,SB-358518,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,Inhibition,'=',0.51,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.51
CHEMBL471789,GSK-1030059A,None,476.48,1,5.9,GSK1030059A,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(C)=O)s3)c2cc1OC,Inhibition,'=',0.53,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.53
CHEMBL385426,GW450241X,None,294.4,0,3.74,GW450241X,CCc1cccc(CC)c1/C=C/c1cncc(C(=O)NC)c1,Inhibition,'=',0.54,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.54
CHEMBL1909389,GW574782A,None,633.09,2,6.37,GW574782A,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(C(F)(F)F)c4)c3c2)o1.Cl,Inhibition,'=',0.54,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.54
CHEMBL261849,GW632580X,None,366.42,0,2.83,GW632580X,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,Inhibition,'=',0.54,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.54
CHEMBL446024,GW683003X,None,294.24,0,2.16,GW683003X,FC(F)(F)CNc1nccc(-c2cnn3ncccc23)n1,Inhibition,'=',0.56,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.56
CHEMBL516248,GW804482X,None,379.44,0,3.77,GW804482X,COc1cccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)c1,Inhibition,'=',0.56,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.56
CHEMBL372474,GW678313X,None,452.51,1,5.69,GW678313X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(-c4ccccc4F)c3)o2)c1,Inhibition,'=',0.57,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.57
CHEMBL270544,GW396574X,None,370.43,0,2.53,GW396574X,CC(C)=Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,Inhibition,'=',0.6,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.6
CHEMBL517123,GSK-182497A,None,566.06,2,5.59,GSK182497A,CN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,Inhibition,'=',0.6,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.6
CHEMBL517507,GW782912X,None,362.47,0,4.08,GW782912X,Cc1ccc(C(=O)NC2CCC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,Inhibition,'=',0.62,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,0.62
